"DateTime","WindSpeed","U","V","RH","P","T","WS","WD","Newdate","Year","Month","Day","Hour"
"01/01/2011 01:00",10.14,3.373565674,-5.185395241,0.005022287,102321.7031,277.5469971,6.186216061,326.952,2011-01-01,2011,1,1,1
"01/01/2011 02:00",10.12,1.926433802,-5.926662445,0.004975498,102365.1875,277.4060669,6.231891762,341.993,2011-01-01,2011,1,1,2
"01/01/2011 03:00",8.94,0.62530911,-6.506192684,0.004870151,102432.4219,277.1083984,6.536172789,354.51,2011-01-01,2011,1,1,3
"01/01/2011 04:00",9.53,-0.294135571,-6.760741711,0.004641871,102493.9609,276.8328857,6.767137077,2.491,2011-01-01,2011,1,1,4
"01/01/2011 05:00",11.68,-0.551287532,-6.811029434,0.004435315,102540,276.3977356,6.833303732,4.627,2011-01-01,2011,1,1,5
"01/01/2011 06:00",10.93,-0.608632505,-6.977635384,0.004259458,102600.5,276.777832,7.00412943,4.985,2011-01-01,2011,1,1,6
"01/01/2011 07:00",11.01,-0.785324395,-7.378848076,0.004015027,102674.2188,276.9784851,7.420521096,6.075,2011-01-01,2011,1,1,7
"01/01/2011 08:00",11.56,-1.096325159,-7.811967373,0.003968935,102728.1563,276.8271484,7.88852097,7.988,2011-01-01,2011,1,1,8
"01/01/2011 09:00",10.47,-1.281582356,-7.948484898,0.003938755,102782.1484,276.6340942,8.051140634,9.159,2011-01-01,2011,1,1,9
"01/01/2011 10:00",11.18,-1.408780217,-7.712506771,0.003919742,102826,276.542511,7.840116223,10.351,2011-01-01,2011,1,1,10
"01/01/2011 11:00",10.82,-1.469549656,-7.21897459,0.003687227,102840.0625,276.3760071,7.367032668,11.506,2011-01-01,2011,1,1,11
"01/01/2011 12:00",10.91,-1.380330205,-6.706890583,0.003508118,102827.8672,276.3137207,6.847458855,11.629,2011-01-01,2011,1,1,12
"01/01/2011 13:00",11,-1.183648229,-6.457279205,0.003397485,102822.5859,276.3105469,6.564866934,10.387,2011-01-01,2011,1,1,13
"01/01/2011 14:00",11.06,-0.939645529,-6.493532181,0.003370603,102843.8672,276.2752075,6.56116559,8.233,2011-01-01,2011,1,1,14
"01/01/2011 15:00",11.95,-0.464909285,-6.663794994,0.003366571,102873.5,276.2901001,6.679992842,3.99,2011-01-01,2011,1,1,15
"01/01/2011 16:00",10.85,0.287429869,-6.769081593,0.003393131,102906.2344,276.3878784,6.775181292,357.568,2011-01-01,2011,1,1,16
"01/01/2011 17:00",11.22,1.074037671,-6.759622097,0.003435183,102931.5,276.2735596,6.844417273,350.971,2011-01-01,2011,1,1,17
"01/01/2011 18:00",10.2,1.7153759,-6.792878151,0.003538558,102968.3125,276.0762329,7.006119329,345.827,2011-01-01,2011,1,1,18
"01/01/2011 19:00",11.43,2.113955021,-6.96435976,0.003581329,102999.875,275.8507996,7.278125631,343.114,2011-01-01,2011,1,1,19
"01/01/2011 20:00",10.62,2.28423357,-7.170692444,0.003583409,103047.5234,275.6873169,7.525726086,342.33,2011-01-01,2011,1,1,20
"01/01/2011 21:00",10.26,2.100753784,-7.169258595,0.003592485,103071.8828,275.5999451,7.470705138,343.668,2011-01-01,2011,1,1,21
"01/01/2011 22:00",10.11,1.882158875,-7.091605186,0.003611755,103070.5078,275.5586243,7.337123834,345.136,2011-01-01,2011,1,1,22
"01/01/2011 23:00",9.81,1.705156326,-6.990271091,0.003631393,103073.0313,275.6221619,7.195237872,346.291,2011-01-01,2011,1,1,23
"02/01/2011 00:00",9.21,1.553633451,-6.816251755,0.00360177,103069.0469,275.6280823,6.991070368,347.159,2011-01-02,2011,1,2,0
"02/01/2011 01:00",8.7,1.462100029,-6.570469379,0.003572211,103049.7578,275.6831055,6.731181498,347.454,2011-01-02,2011,1,2,1
"02/01/2011 02:00",8.23,1.425133109,-6.31285429,0.00351969,103035.6875,275.7550964,6.471717984,347.278,2011-01-02,2011,1,2,2
"02/01/2011 03:00",8.98,1.627775908,-6.192926407,0.003517421,103023.8438,275.7935181,6.403279776,345.273,2011-01-02,2011,1,2,3
"02/01/2011 04:00",9.34,1.836853266,-6.114079475,0.003504978,103008.8672,275.8068542,6.38404243,343.278,2011-01-02,2011,1,2,4
"02/01/2011 05:00",8.57,2.098557472,-5.956353664,0.003592538,102984.4688,275.7286682,6.31522703,340.591,2011-01-02,2011,1,2,5
"02/01/2011 06:00",9.03,2.237493515,-5.85072422,0.003690663,102986.4141,275.7259521,6.263972472,339.071,2011-01-02,2011,1,2,6
"02/01/2011 07:00",10.27,2.350915432,-5.73370409,0.00372263,102990.5,275.7252197,6.196948117,337.705,2011-01-02,2011,1,2,7
"02/01/2011 08:00",8.61,2.475492001,-5.612355232,0.003741835,102995.7188,275.7670593,6.134051834,336.198,2011-01-02,2011,1,2,8
"02/01/2011 09:00",9.46,2.59537816,-5.445872307,0.003748462,103011.5625,275.8615112,6.032703621,334.518,2011-01-02,2011,1,2,9
"02/01/2011 10:00",7.55,2.615240097,-5.254910469,0.003732542,103014.1719,275.8961792,5.869715905,333.541,2011-01-02,2011,1,2,10
"02/01/2011 11:00",6.89,2.607079029,-5.002484798,0.003667229,103003.3438,275.9719849,5.641073942,332.473,2011-01-02,2011,1,2,11
"02/01/2011 12:00",8.58,2.691429138,-4.740728855,0.003533363,102972.7344,276.0508118,5.45144943,330.415,2011-01-02,2011,1,2,12
"02/01/2011 13:00",8.89,2.898655653,-4.540973663,0.003468132,102942.5938,276.1106873,5.387267063,327.448,2011-01-02,2011,1,2,13
"02/01/2011 14:00",7.32,3.145788193,-4.488743782,0.003441039,102925.8906,276.1517944,5.481314085,324.976,2011-01-02,2011,1,2,14
"02/01/2011 15:00",6.42,3.247613192,-4.718051434,0.003425258,102913.7422,276.1800232,5.727739587,325.458,2011-01-02,2011,1,2,15
"02/01/2011 16:00",6.86,3.09684515,-5.044312,0.003398058,102916.8438,276.1687317,5.919082145,328.453,2011-01-02,2011,1,2,16
"02/01/2011 17:00",7.1,2.765996933,-5.284759521,0.003374761,102924.1563,276.1227417,5.964848886,332.372,2011-01-02,2011,1,2,17
"02/01/2011 18:00",6.65,2.395894289,-5.332295895,0.003378223,102930.1797,276.1477356,5.845826627,335.804,2011-01-02,2011,1,2,18
"02/01/2011 19:00",5.92,2.160728216,-5.099254608,0.00339315,102947.7344,276.2330017,5.538153481,337.035,2011-01-02,2011,1,2,19
"02/01/2011 20:00",6.16,1.991321564,-4.661239624,0.003331809,102951.0313,276.3921509,5.068778591,336.867,2011-01-02,2011,1,2,20
"02/01/2011 21:00",5.06,2.11467886,-3.893070221,0.003197142,102907.8438,276.5814209,4.430334347,331.489,2011-01-02,2011,1,2,21
"02/01/2011 22:00",5.1,2.619289637,-2.92477107,0.003141709,102831.2656,276.6791382,3.926189503,318.153,2011-01-02,2011,1,2,22
"02/01/2011 23:00",5.13,3.298011065,-1.926063418,0.003109766,102742.8125,276.6715698,3.819240405,300.285,2011-01-02,2011,1,2,23
"03/01/2011 00:00",4.64,4.045469284,-1.149871588,0.003078602,102657.1563,276.5492554,4.205713542,285.867,2011-01-03,2011,1,3,0
"03/01/2011 01:00",4.59,4.704918385,-0.680141509,0.003067103,102582.9375,276.3338928,4.753824721,278.225,2011-01-03,2011,1,3,1
"03/01/2011 02:00",4.88,5.221641064,-0.247685432,0.003082657,102531.1719,276.0301819,5.227512168,272.715,2011-01-03,2011,1,3,2
"03/01/2011 03:00",5.63,5.609628677,0.088037789,0.00316302,102482.0313,275.600708,5.61031947,269.1,2011-01-03,2011,1,3,3
"03/01/2011 04:00",7.8,5.861374855,0.459468663,0.003304201,102428.375,274.9913635,5.879355972,265.517,2011-01-03,2011,1,3,4
"03/01/2011 05:00",8.88,6.127433777,0.836571932,0.00339956,102376.8984,274.6082459,6.184278235,262.225,2011-01-03,2011,1,3,5
"03/01/2011 06:00",9.03,6.531341553,1.304334879,0.003470155,102326.4453,274.5960693,6.660308698,258.706,2011-01-03,2011,1,3,6
"03/01/2011 07:00",7.78,6.988865852,1.748697162,0.003549194,102272.5313,274.6199036,7.204317294,255.952,2011-01-03,2011,1,3,7
"03/01/2011 08:00",6.38,7.444903374,2.190782309,0.003644089,102220.1563,274.5717773,7.760548522,253.602,2011-01-03,2011,1,3,8
"03/01/2011 09:00",8.72,7.70273304,2.724115849,0.003723996,102175.4844,274.6990051,8.170245005,250.523,2011-01-03,2011,1,3,9
"03/01/2011 10:00",9.97,7.775851727,3.413279057,0.003796417,102114.7656,275.0033569,8.492016486,246.3,2011-01-03,2011,1,3,10
"03/01/2011 11:00",9.93,8.031225204,4.192914963,0.003819383,102026.2813,275.4193115,9.059862812,242.431,2011-01-03,2011,1,3,11
"03/01/2011 12:00",11.54,8.631390572,4.944246292,0.003753908,101926.7344,275.6976318,9.947184255,240.194,2011-01-03,2011,1,3,12
"03/01/2011 13:00",11.04,9.35574913,5.557587147,0.003638709,101841.7344,275.5774231,10.88194912,239.288,2011-01-03,2011,1,3,13
"03/01/2011 14:00",10.29,9.860589027,5.904350281,0.003584704,101780.0781,275.1482239,11.4931531,239.087,2011-01-03,2011,1,3,14
"03/01/2011 15:00",11.41,9.963877678,6.108646393,0.00356898,101711.6094,274.670166,11.68736151,238.488,2011-01-03,2011,1,3,15
"03/01/2011 16:00",11.53,9.999922752,6.472893715,0.00353046,101611.5703,274.8380127,11.91204466,237.085,2011-01-03,2011,1,3,16
"03/01/2011 17:00",11.67,9.912926674,6.658022881,0.003488231,101525.25,274.7454834,11.94133091,236.112,2011-01-03,2011,1,3,17
"03/01/2011 18:00",12.13,9.960089684,6.667292118,0.003480154,101459.4531,274.6605835,11.98566522,236.201,2011-01-03,2011,1,3,18
"03/01/2011 19:00",11.95,9.88258934,6.831197262,0.003510444,101395.3594,274.5768738,12.0137766,235.346,2011-01-03,2011,1,3,19
"03/01/2011 20:00",12.72,10.13390541,7.201504231,0.003571377,101317,274.7200012,12.4321238,234.601,2011-01-03,2011,1,3,20
"03/01/2011 21:00",10.97,10.27598953,7.534548759,0.003620753,101240.125,274.8822021,12.74226769,233.75,2011-01-03,2011,1,3,21
"03/01/2011 22:00",NA,10.35656738,7.599070549,0.003696741,101142.6719,274.8492126,12.84540234,233.73,2011-01-03,2011,1,3,22
"03/01/2011 23:00",NA,10.52963638,7.273994446,0.003791787,101035.1094,274.8430481,12.79782159,235.362,2011-01-03,2011,1,3,23
"04/01/2011 00:00",NA,10.63950825,6.748435497,0.00389046,100920.7188,275.0538025,12.59922686,237.613,2011-01-04,2011,1,4,0
"04/01/2011 01:00",NA,10.52843475,6.054009438,0.004008231,100812.3438,275.4627991,12.14491534,240.1,2011-01-04,2011,1,4,1
"04/01/2011 02:00",NA,10.27551746,5.422907352,0.00413745,100718.7969,275.7400208,11.61869973,242.177,2011-01-04,2011,1,4,2
"04/01/2011 03:00",NA,10.03878784,4.931615353,0.004282206,100620.4609,275.9928894,11.1847258,243.837,2011-01-04,2011,1,4,3
"04/01/2011 04:00",8.95,9.93957901,4.558573723,0.004503387,100537.9688,276.2440796,10.93507317,245.362,2011-01-04,2011,1,4,4
"04/01/2011 05:00",9.78,9.865190506,4.431420803,0.004701667,100461.8594,276.479126,10.81478035,245.81,2011-01-04,2011,1,4,5
