"ISSUEdtm","TARGETdtm","Power","U10","V10","U100","V100"
2011-12-31 12:00:00,2012-01-01 01:00:00,0,2.124600139,-2.681966369,2.864279592,-3.666075765
2011-12-31 12:00:00,2012-01-01 02:00:00,0.05487912,2.521694654,-1.796960091,3.344858672,-2.464761461
2011-12-31 12:00:00,2012-01-01 03:00:00,0.110233998,2.672209855,-0.82251622,3.508448017,-1.214092935
2011-12-31 12:00:00,2012-01-01 04:00:00,0.165116056,2.457504348,-0.143642299,3.215232513,-0.355546415
2011-12-31 12:00:00,2012-01-01 05:00:00,0.156940134,2.245897683,0.389576113,2.957678353,0.332700922
2011-12-31 12:00:00,2012-01-01 06:00:00,0.168781126,1.986037616,0.796304215,2.655405999,0.882647967
2011-12-31 12:00:00,2012-01-01 07:00:00,0.114744854,1.319786507,1.440680778,1.946707522,1.941323146
2011-12-31 12:00:00,2012-01-01 08:00:00,0.085424302,-0.122060579,2.358906734,-0.235427168,4.323884652
2011-12-31 12:00:00,2012-01-01 09:00:00,0.153181091,-1.380190581,2.903624265,-3.048145009,6.041520047
2011-12-31 12:00:00,2012-01-01 10:00:00,0.139272625,-1.710881331,2.01393316,-4.213648336,4.877628176
2011-12-31 12:00:00,2012-01-01 11:00:00,0.083826706,-2.134980044,1.425774513,-5.470852265,3.721329261
2011-12-31 12:00:00,2012-01-01 12:00:00,0.14782445,-2.340389024,0.617854922,-6.095208831,1.564929409
2011-12-31 12:00:00,2012-01-01 13:00:00,0.138708763,-2.21422187,0.098265096,-5.785577787,0.098403957
2011-12-31 12:00:00,2012-01-01 14:00:00,0.22206559,-2.139406961,-0.226265599,-5.605006849,-0.861562778
2011-12-31 12:00:00,2012-01-01 15:00:00,0.241048769,-2.020322876,-0.455396195,-5.185561504,-1.845935447
2011-12-31 12:00:00,2012-01-01 16:00:00,0.24584155,-1.751608973,-1.251390773,-3.655519982,-4.639601352
2011-12-31 12:00:00,2012-01-01 17:00:00,0.239075273,-0.978669148,-2.614675228,-1.485272407,-7.574821673
2011-12-31 12:00:00,2012-01-01 18:00:00,0.25345362,-0.234061596,-3.575916406,0.028919628,-8.864539693
2011-12-31 12:00:00,2012-01-01 19:00:00,0.302039275,0.247587047,-3.91194622,1.005927274,-9.025076503
2011-12-31 12:00:00,2012-01-01 20:00:00,0.516022917,0.371540741,-3.726682635,1.245933787,-8.7061723
2011-12-31 12:00:00,2012-01-01 21:00:00,0.735457175,0.43130413,-3.920464086,1.17517715,-8.187681792
2011-12-31 12:00:00,2012-01-01 22:00:00,0.618926787,0.522941326,-4.344653814,1.142912123,-7.909996499
2011-12-31 12:00:00,2012-01-01 23:00:00,0.815430868,1.033807625,-4.925572275,1.676700194,-7.585668755
2011-12-31 12:00:00,2012-01-02 00:00:00,0.760454834,1.468088248,-5.200273454,2.254640406,-7.688173678
2012-01-01 12:00:00,2012-01-02 01:00:00,0.439244421,2.792536871,-5.818453425,4.176298938,-8.510670134
2012-01-01 12:00:00,2012-01-02 02:00:00,0.205807719,3.690428581,-5.504235074,5.44032012,-8.013328954
2012-01-01 12:00:00,2012-01-02 03:00:00,0.190019729,3.893923678,-5.205664206,5.714882098,-7.581300609
2012-01-01 12:00:00,2012-01-02 04:00:00,0.803495886,3.761368107,-5.021700568,5.649090832,-7.419089223
2012-01-01 12:00:00,2012-01-02 05:00:00,0.755004215,3.591518614,-4.586108508,5.799840899,-7.160514637
2012-01-01 12:00:00,2012-01-02 06:00:00,0.376750294,2.892257576,-3.52588589,5.290088095,-6.348387005
2012-01-01 12:00:00,2012-01-02 07:00:00,0.567803766,2.571205551,-3.199826202,5.1227607,-6.386932285
2012-01-01 12:00:00,2012-01-02 08:00:00,0.274222341,3.205607595,-0.550326921,7.329617355,-1.311803773
2012-01-01 12:00:00,2012-01-02 09:00:00,0.154684708,2.901175687,0.764061549,7.027599179,1.817858809
2012-01-01 12:00:00,2012-01-02 10:00:00,0.095291795,2.199887805,1.119724581,5.654271247,2.984924226
2012-01-01 12:00:00,2012-01-02 11:00:00,0.087491775,1.788438557,1.984988033,4.444126377,5.089924786
2012-01-01 12:00:00,2012-01-02 12:00:00,0.023952164,0.881223366,1.868689182,2.355901219,4.90844076
2012-01-01 12:00:00,2012-01-02 13:00:00,0.001952942,0.676106795,1.92874168,1.645148325,4.568492806
2012-01-01 12:00:00,2012-01-02 14:00:00,0.05948689,0.207500557,1.905059005,0.79297011,3.937313849
2012-01-01 12:00:00,2012-01-02 15:00:00,0.023867,-0.987121055,1.68430264,-0.827981644,2.975823257
2012-01-01 12:00:00,2012-01-02 16:00:00,0,-1.045899519,1.51218034,-0.978731711,2.513279899
2012-01-01 12:00:00,2012-01-02 17:00:00,0,-1.17845509,1.414489305,-1.011886365,2.550219126
2012-01-01 12:00:00,2012-01-02 18:00:00,0,-1.724081384,1.156517308,-1.658402117,2.62945109
2012-01-01 12:00:00,2012-01-02 19:00:00,0,-1.746782032,0.686247045,-1.841270756,2.091423226
